"gene.name","Oligodendro","Microglia","aNSC_NPC","Astrocyte_qNSC","Neuroblast","Endothelial"
"Ctdsp1",0,0,0,0,0,0
"Vil1",0,0,0,0,0,-0.00953138154615658
"Usp37",0,0,0,0,0,0
"Cnot9",0,0,0,-0.000364425841138978,0,0
"Plcd4",0,0,0,0,0,0
"Zfp142",0,0,0,0,0,0
"Bcs1l",1.87893926752396e-05,0,7.17285486743866e-05,0,0,0
"Rnf25",0,0,0,0,0,0
"Stk36",0,0,0,5.75226932526542e-05,0,0
"Ttll4",0,0,0,0,0,0
"Cyp27a1",0,0.00366927622936445,0,0,0,0
"Prkag3",0,0,0,0,0,0
"Wnt6",0,0,0,0,0,0
"Gm29539",0,0,0,0,0,0
"Wnt10a",0,0,0,0,0,0
"Cdk5r2",0,0,-0.00229955579007626,0,0,0
"Fev",0,0,0,0,0,0
"Cryba2",0,0,0,0,0,0
"Cfap65",0,0,0,0,0,0
"Gm15841",0,0,0,0,0,0
"Ihh",0,0,0,0,0,0
"Nhej1",0,0,0.000473899933072505,0,0,0
"Slc23a3",0,0,0,0,0,0
"Cnppd1",0,0,0,0,0,0
"Retreg2",0,0,0,0,0,0
"Zfand2b",0,0,0.00039018454937165,0,0,0
"Abcb6",0.000328036301759595,-0.000665929885006488,0,0,0,0
"Atg9a",0,-0.000312807656786683,0,0,0,0
"Ankzf1",0,0,0,0,0,0
"Glb1l",0,0,0,0,0,0
"Stk16",0,0,0,0,0,0
"Tuba4a",0,0,0,0,0,0
"A630095N17Rik",0,0,0,0,0,0
"Dnajb2",0,0,0,0,4.05136442709117e-05,0
"Ptprn",0,0,0,0,0,0
"Gm28294",0,0,0,0,0,0
"Resp18",0,0,0,-0.0135769663561931,0,0
"Gm28902",0,0,0,0,0,0
"Dnpep",0,0,0,0,0,0
"Des",0,0,0,0,0,0
"Gm15179",0,0,0,0,0,0
"Speg",0,0,0.000394664965942943,0,0,0
"Gm15178",0,0,0,0,0,0
"Gmppa",0,0,1.06974815542328e-05,-4.70182075868799e-05,0,0
"Asic4",0,0,5.05635632811262e-05,0,0,0
"Chpf",0,0,0,0,0,0
"Obsl1",0,0,0,0,0,0
"Tmem198",0,-0.00195349218592279,0,0,0,0
"Inha",0,0,0,0.000605709125377797,0,0
"Stk11ip",0,0,-0.000229462125931599,3.54209750555885e-06,0,0
"Slc4a3",0,0,0,0,0,0
"Gm29065",0,0,0,0,0,0
"Gm29069",0,0,0,0,0.00584212687796833,0
"Gm17751",0,0,0,0,0,0
"Gm816",0,0,0,0,0,0
"Epha4",0,0,0,0,0,0
"Gm28386",0,0,0,0,0,0
"Gm28387",0,0,0,0,0,0
"Pax3",0,0,-0.00387612720703116,0,0,0
"Sgpp2",-0.017153391845912,-0.0169026791388328,0,0,0,0
"Gm28410",0,0,0,0,0,0
"Farsb",-8.8459753050751e-05,0,0,0,0,0
"BC035947",0,0,0,0,0,0
"Mogat1",0,0,0,0.000445798208279033,0,0
"5730419F03Rik",0,0,0,0,0,0
"Gm29611",0,0,0,0,0,0
"Acsl3",6.41197044093183e-05,0,0,0,0,0
"Utp14b",0,0,0,0,0,0
"Gm29536",0,0,0,0,0,0
"Kcne4",0,0,0,0,0,0
"Gm29187",0,0,0,0,0,0
"Scg2",0,0,-0.00358039566009568,0,0,0
"Ap1s3",0,-0.000991334348289074,0,0,-0.0102258374783721,0
"Wdfy1",0,0,0,0,0,0
"Mrpl44",0,0,0,-8.95363619343699e-05,0,0
"Serpine2",0,0,0,0,0,0.00023930840683341
"9830004L10Rik",0,0,0,0,0,0
"Fam124b",0,0,0,0,0,0
"2310015K22Rik",0,0,0,0,0,0
"Cul3",0,0,0,0,0,0
"Gm29125",0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0
"Gm45261",0,0,0,0,0,0
"Dock10",0.000392635364942353,0,0,0,0,0
"Nyap2",0,0.00293782114822254,0,0,0,0
"Irs1",-0.000149137433290933,0,0,0,0,0
"Gm9747",0,0,0,0,0,0
"Rhbdd1",0,0,0,0,0.000464172400488536,0
"Gm28940",0,0,0,0,0,-0.00036328531551384
"Col4a4",0,0,0,0,0,0
"Col4a3",0,0,0,0,0,0
"Mff",0,0,0,0,0,0
"Tm4sf20",0,0,0,0,0,0
"Gm47791",0,0,0,0,0,0
"Gm28942",0,0,0,0,0,0
"Agfg1",0,0,0,0,0,0
