"gene.name","Oligodendro","Microglia","aNSC_NPC","Astrocyte_qNSC","Neuroblast","Endothelial"
"Ccnyl1",0,0,0,0,0,0
"Fzd5",0,0,-0.27923885495168,0,0,0
"Plekhm3",0,0,0,0,0,0
"Akr1cl",0,0,5.09419413524344,0,0,0
"Cryge",0,0,0,0,0,0
"Crygd",0,0,0,0,0,0
"Crygc",0,0,0,0,0,0
"Crygb",0,0,0,0,0,0
"Cryga",0,0,0,0,0,0
"Gm28845",0,0,0,0,0,0
"D630023F18Rik",0,0,0,0,0,0
"Idh1",-0.00141792302705697,0,0,0,0,0
"Pikfyve",0,0,0,0,0,0
"Pth2r",0,0,0,0,0,0
"Crygf",0,0,0,0,0,0
"Map2",0,0,1.15539236106069,0,0,0
"Gm10558",0,0,0,0.00988069174726009,0,0
"Unc80",0,-0.0458651988117947,0,0,0,0
"Rpe",0,0,0,0,0,0
"Kansl1l",0,0,0.0493386407510703,0,0,0
"Acadl",0,0,0,0,0,0
"Myl1",0,0,0,0,0,0
"Lancl1",0,0,0,-0.0238256664686318,0,0
"Cps1",0,0,0,0,0.369608707098651,0
"Gm15668",0,0,0,0,0,0
"Gm15669",0,0,0,0,0,0
"Gm15671",0,0,0,0,0,0
"Erbb4",-0.206453780419944,0,0,0,0.0152071053702787,0
"Gm28497",0,0,0,0,0,0
"Gm29113",0,0,0,0,0,0
"Gm29114",0,0,0,0,0,0
"Ikzf2",0,0,0,0,0,0
"Spag16",0,-0.885481391691423,0,0,3.82517843191138,0
"Vwc2l",0,0,0,0,0,0
"Bard1",-0.218376616710445,0,0,0.541513937076591,0,0
"Abca12",0,0,0,0,0,0
"Atic",0,0,0.0173822548808264,0,0,0
"Fn1",-0.00961112925470078,0,0,0,0,0
"Apol7d",0,0,0,0,0,0
"Gm8883",0,0,0,0,0,0
"Gm28818",0,0,0,0,0,0
"4933417E11Rik",0,0,0,0,0,0
"4930556G22Rik",0,0,0,0,0,0
"Gm4319",0,0,0,0,0,0
"Mreg",-0.124507262683925,0,0.0198922698902799,0,0,0
"D230017M19Rik",0,0,0,0,0,0
"Pecr",0.0199751405109632,0,0,0,0,0
"Tmem169",0,0,0,0,0,0
"Xrcc5",0,0,0,0,0,0
"March4",0,0,0,0,0,0
"Smarcal1",0,0,0,0,0,0
"Gm39662",0,-0.0573648209750246,0,0,0,0
"Ankar",0,0,0,0,0,0
"Rpl37a",0,0,0,-0.0569898189365642,0,0
"Igfbp2",0,0,0,0,0,0
"Igfbp5",0,0,-0.0259334224459143,0,0,0
"1700027A15Rik",0,0,0,0,0,0
"Tnp1",0,0,0,0,0,0
"Gm29185",0,0,0,0,0,0
"Pinc",0,0,0,0,0,0
"D530049I02Rik",0,0,0,0,0,0
"C530043A13Rik",0,0,0,0,0,0
"Gm29186",0,0,0,0,0,0
"6030407O03Rik",0,0,0,0,0,0
"Gm29183",0,0,0,0,0,0
"Tns1",0,0,0,-0.00609103823174925,0,0
"Rufy4",0,0,0,0,0,0
"Cxcr2",0,0,0,0,0,0
"Cxcr1",0,0,0,0,0,0
"Arpc2",0.00252426298856776,-0.0257909016343061,0,0,0,0
"Gpbar1",0,0,0,0,0,0
"Aamp",0,0,0,0,-0.0106164223446575,0
"Gm28364",0,0,0,0,0,0
"Pnkd",0,0,0,0,0,0
"Tmbim1",0,0,0.0140164484294343,0,0,0
"Catip",0.00901303655316558,0,0,0,0,0
"Slc11a1",-0.0115382266738288,0,0,0,0,0
"Ctdsp1",0,0,0,0,0,0
"Vil1",0,0,0,0,0,0.175933459060697
"Usp37",0,0,0,0,0,0
"Cnot9",0,0,0,0,0,0
"Plcd4",-0.00788351957983224,0,0,0,0,0
"Zfp142",0,0,0,0,0,0
"Bcs1l",0,0,0,0,0,-0.0279521411835309
"Rnf25",0,0,0,0,0,0
"Stk36",0,0,0,0,-0.0453691487914382,0
"Ttll4",0,0,0,0,0,0
"Cyp27a1",0,0,0,0,0,-0.130760414473149
"Prkag3",0,0,0,0,0,0
"Wnt6",0,0,0,0,0,0
"Gm29539",-0.471577978822832,0,0,0,0,0
"Wnt10a",0,0,0,0,0,0
"Cdk5r2",0,0,0,0,0,0
"Fev",0,0,0,0,0,0
"Cryba2",0,0,0,0,0,0
"Cfap65",0,0,0,0,0,0
"Gm15841",0,0,0,0,0,0
"Ihh",0,0.319331597413174,0,0,0,0
"Nhej1",0,0,0,0,0,0
"Slc23a3",0,0,0,0,0,0
"Cnppd1",0,0,0,0,0,0
"Retreg2",0,0,0,0,0,0
"Zfand2b",0,0,0,0,0,0
"Abcb6",-0.41506016562676,0,0,0,0,0
"Atg9a",0,0,0,0,0,0
"Ankzf1",0,0,0,0,0,0
"Glb1l",0,0,0,0,0,0
"Stk16",0,0,0,0,0,0
"Tuba4a",0,0,0,0.00393079364945988,0,0
"A630095N17Rik",0,0,0,0,0,0
"Dnajb2",0,0,0,0,-0.132278524499059,0
"Ptprn",0,0,0,0,0,0
"Gm28294",0,0,0,0,0,0
"Resp18",0,0.0328571830041362,0,0.734807058024172,0,0
"Gm28902",0,0,0,0,0,0
"Dnpep",0,0,0,0,0,0
"Des",-0.219172322737464,0,0,0,0,0
"Gm15179",0,0,0,0,0,0
"Speg",0.27470951346916,0,0,0,0,0
"Gm15178",0,0,0,0,0,0
"Gmppa",0,0,-0.128523076214436,0,0,0
"Asic4",0,0,0,0,0,0
"Chpf",0,0,0,0,0,0
"Obsl1",0,0,0,0,0,0
"Tmem198",0,0.739226755321026,0,0,0,0
"Inha",0,0,0,0,0,0
